City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Nemuro,JP,43.3236,145.575,60.75,89,100,18.66,overcast clouds
214,Huntington,US,38.4193,-82.4452,56.32,94,20,3.44,few clouds
215,Pisco,PE,-13.7,-76.2167,59.05,88,5,9.22,clear sky
216,Husavik,IS,66.0449,-17.3389,36.46,94,100,0.69,overcast clouds
217,Hithadhoo,MV,-0.6,73.0833,80.8,71,97,9.06,overcast clouds
218,Yar-Sale,RU,66.8333,70.8333,37.51,94,100,2.98,overcast clouds
219,Roebourne,AU,-20.7833,117.1333,88.97,23,0,6.64,clear sky
220,San Patricio,US,28.017,-97.5169,82.26,74,41,6.62,scattered clouds
221,Kaitangata,NZ,-46.2817,169.8464,50.86,82,92,3.29,moderate rain
222,Luba,GQ,3.4568,8.5547,78.26,81,100,0.36,overcast clouds
223,Asfi,MA,32.2994,-9.2372,69.94,70,0,0.98,clear sky
224,Cabo San Lucas,MX,22.8909,-109.9124,76.6,74,53,9.26,broken clouds
225,Viedma,AR,-40.8135,-62.9967,50.32,73,50,7.4,scattered clouds
226,Santa Rosalia,MX,27.3167,-112.2833,71.53,62,3,3.02,clear sky
227,Cockburn Town,TC,21.4612,-71.1419,81.09,75,21,8.08,few clouds
228,Makasar,ID,-5.14,119.4221,84.25,74,20,6.91,moderate rain
229,Port Hardy,CA,50.6996,-127.4199,56.46,77,0,6.29,clear sky
230,Sambava,MG,-14.2667,50.1667,73.65,65,8,9.57,clear sky
231,Nisia Floresta,BR,-6.0911,-35.2086,76.01,89,83,7.96,broken clouds
232,Oleksandrivka,UA,48.9634,32.2349,40.71,69,12,1.83,few clouds
233,Lexington Park,US,38.2668,-76.4538,60.66,94,100,9.22,light rain
234,Vila,PT,42.0304,-8.1588,50.88,94,100,4.59,overcast clouds
235,Mao,ES,39.8885,4.2658,70.36,94,20,9.22,few clouds
236,Aksarka,RU,66.5606,67.7975,36.09,86,21,4.81,few clouds
237,Bataipora,BR,-22.2953,-53.2711,66.81,95,86,3.29,overcast clouds
238,Bardiyah,LY,31.7561,25.0865,70.32,68,15,14.18,few clouds
239,Taltal,CL,-25.4,-70.4833,56.97,75,23,1.92,few clouds
240,San Lorenzo,PY,-25.3333,-57.5333,72.54,68,0,9.22,clear sky
241,Ancud,CL,-41.8697,-73.8203,49.12,91,92,3.53,overcast clouds
242,Tiksi,RU,71.6872,128.8694,18.73,88,100,19.73,overcast clouds
243,Pevek,RU,69.7008,170.3133,5.76,96,87,5.06,overcast clouds
244,Kloulklubed,PW,7.0419,134.2556,86.5,74,95,11.95,overcast clouds
245,Esperance,AU,-33.8667,121.9,60.85,69,79,24.49,broken clouds
246,Yenagoa,NG,4.9247,6.2642,73.53,91,98,1.32,overcast clouds
247,Sindor,RU,62.8629,51.8905,40.08,94,99,7.07,overcast clouds
248,Pangnirtung,CA,66.1451,-65.7125,41.34,89,84,9.48,light rain
249,Sri Aman,MY,1.2376,111.4621,93.69,49,44,1.9,scattered clouds
250,Kodiak,US,57.79,-152.4072,47.71,76,20,8.05,few clouds
251,Deputatskiy,RU,69.3,139.9,12.69,89,100,7.54,overcast clouds
252,Kiunga,PG,-6.1219,141.2906,89.26,63,99,2.35,overcast clouds
253,Davidson,US,36.1501,-86.7833,63.05,85,75,5.75,broken clouds
254,Lorengau,PG,-2.0226,147.2712,84.42,71,89,7.78,overcast clouds
255,Narsaq,GL,60.9167,-46.05,30.42,69,69,7.16,broken clouds
256,Sitka,US,57.0531,-135.33,56.97,97,98,1.61,overcast clouds
257,Thompson,CA,55.7435,-97.8558,15.85,95,71,3.36,broken clouds
258,Te Anau,NZ,-45.4167,167.7167,52.66,59,100,7.31,overcast clouds
259,Salta,AR,-24.7859,-65.4117,57.58,84,100,0.65,overcast clouds
260,Ust-Omchug,RU,61.15,149.6333,8.19,91,40,4.34,scattered clouds
261,Sturgis,US,41.7992,-85.4192,44.85,93,100,6.91,light rain
262,Broome,US,42.2506,-75.833,49.35,71,0,4.61,clear sky
263,Bairiki,KI,1.3292,172.9752,84.2,65,20,11.5,few clouds
264,Urucara,BR,-2.5364,-57.76,72.66,96,93,2.04,overcast clouds
265,Bengkulu,ID,-3.8004,102.2655,82.81,70,99,7.09,overcast clouds
266,Waingapu,ID,-9.6567,120.2641,82.58,69,96,7.63,overcast clouds
267,Shaowu,CN,27.3409,117.4831,79.84,35,99,3.31,overcast clouds
268,Shubarshi,KZ,48.5872,57.1869,47.05,57,49,5.7,scattered clouds
269,Erzin,TR,36.9559,36.2,73.06,52,94,5.19,overcast clouds
270,Khatanga,RU,71.9667,102.5,23.18,95,100,7.11,overcast clouds
271,Soyo,AO,-6.1349,12.3689,75.85,88,42,7.43,scattered clouds
272,Sterling,US,39.0062,-77.4286,59.68,83,100,10.36,overcast clouds
273,Beringovskiy,RU,63.05,179.3167,24.51,64,90,15.75,overcast clouds
274,Evensk,RU,61.95,159.2333,20.14,76,23,8.03,few clouds
275,Mizdah,LY,31.4451,12.9801,58.59,88,22,4.85,few clouds
276,Atuona,PF,-9.8,-139.0333,76.75,75,9,9.98,clear sky
277,Alyangula,AU,-13.8483,136.4192,87.55,60,86,8.79,overcast clouds
278,Xanxere,BR,-26.8769,-52.4042,55.36,97,0,2.42,clear sky
279,Puerto Escondido,MX,15.85,-97.0667,79.18,84,48,3.33,light rain
280,Terrace,CA,54.5163,-128.6035,53.51,93,0,3.44,fog
281,Tura,IN,25.5198,90.2201,83.16,65,0,2.01,clear sky
282,Port Keats,AU,-14.25,129.55,89.73,58,69,15.01,broken clouds
283,Antsohihy,MG,-14.8796,47.9875,80.76,47,3,4.59,clear sky
284,Macenta,GN,8.5435,-9.471,65.95,100,97,0.54,overcast clouds
285,Suyan,PH,6.0603,125.3853,86.31,70,98,5.3,overcast clouds
286,Bad Langensalza,DE,51.1,10.65,63.23,84,28,4.81,scattered clouds
287,Sechura,PE,-5.5569,-80.8222,61.3,86,30,9.44,scattered clouds
288,Ypsonas,CY,34.6884,32.9574,68.97,68,75,18.41,broken clouds
289,Itoman,JP,26.1247,127.6694,82.42,78,75,11.5,moderate rain
290,Guadalupe Y Calvo,MX,26.1,-106.9667,48.31,93,0,4.65,clear sky
291,Krasnoborsk,RU,61.5598,45.934,43.02,89,93,9.8,overcast clouds
292,Torbay,CA,47.6666,-52.7314,53.58,94,100,25.32,overcast clouds
293,Cayenne,GF,4.9333,-52.3333,73.44,94,0,0.0,clear sky
294,Talavera De La Reina,ES,39.9635,-4.8308,59.86,83,85,3.27,overcast clouds
295,Goderich,CA,43.7501,-81.7165,45.91,93,98,5.75,overcast clouds
296,Mukdahan,TH,16.5833,104.5,79.83,61,63,10.54,broken clouds
297,Lahaina,US,20.8783,-156.6825,80.6,81,22,8.19,few clouds
298,Languyan,PH,5.2618,120.0807,87.33,63,80,2.77,broken clouds
299,Maragogi,BR,-9.0122,-35.2225,72.95,85,37,4.09,scattered clouds
300,Lixourion,GR,38.2019,20.4314,64.4,64,0,5.14,clear sky
301,Taperoa,BR,-7.2075,-36.8267,67.12,87,7,15.46,clear sky
302,Padang,ID,-0.9492,100.3543,84.25,73,98,3.09,overcast clouds
303,Haines Junction,CA,60.7522,-137.5108,44.55,87,100,1.14,overcast clouds
304,Katsuura,JP,35.1333,140.3,74.53,88,100,12.66,light rain
305,Camacha,PT,33.0833,-16.3333,63.82,88,20,3.44,few clouds
306,Killybegs,IE,54.6333,-8.45,51.75,82,100,24.43,overcast clouds
307,Olafsvik,IS,64.8945,-23.7142,37.18,78,56,8.25,broken clouds
308,Ixtapa,MX,20.7,-105.2,82.22,83,94,1.41,overcast clouds
309,Virginia Beach,US,36.8529,-75.978,64.44,92,100,10.36,overcast clouds
310,Maracaju,BR,-21.6144,-55.1683,68.63,96,45,6.11,scattered clouds
311,Kasama,ZM,-10.2129,31.1808,69.28,36,98,5.7,overcast clouds
312,Stephenville,US,32.2207,-98.2023,63.93,91,75,9.22,moderate rain
313,Talnakh,RU,69.4865,88.3972,27.21,96,100,8.23,light snow
314,Qasigiannguit,GL,68.8193,-51.1922,37.65,82,100,0.98,overcast clouds
315,Rocha,UY,-34.4833,-54.3333,56.82,87,86,11.68,overcast clouds
316,Vardo,NO,70.3705,31.1107,42.78,87,100,6.91,overcast clouds
317,Acapulco,MX,16.8634,-99.8901,82.22,89,75,0.0,moderate rain
318,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,40,5.75,light rain
319,Ketchikan,US,55.3422,-131.6461,62.58,77,0,8.05,clear sky
320,Kamenka,RU,51.3223,42.7678,38.8,69,3,2.1,clear sky
321,Galesong,ID,-5.3166,119.3661,84.22,69,100,6.06,moderate rain
322,Williamsport,US,41.2412,-77.0011,49.39,93,0,0.0,clear sky
323,Nhulunbuy,AU,-12.2333,136.7667,90.21,62,40,14.97,scattered clouds
324,Charlestown,AU,-32.95,151.6667,68.86,74,58,5.01,broken clouds
325,Margate,GB,51.3813,1.3862,62.31,92,98,3.0,overcast clouds
326,Zhucheng,CN,35.9947,119.3975,58.53,24,0,18.86,clear sky
327,Venado Tuerto,AR,-33.7456,-61.9688,51.76,88,0,8.43,clear sky
328,Venado,MX,22.9333,-101.0833,65.3,53,15,5.64,few clouds
329,Aksu,CN,41.1231,80.2644,64.87,15,8,0.98,clear sky
330,Longkou,CN,37.6508,120.3286,53.82,41,0,22.5,clear sky
331,San Cristobal,VE,7.7669,-72.225,68.18,98,91,1.77,overcast clouds
332,Praia Da Vitoria,PT,38.7333,-27.0667,64.65,82,40,21.21,light intensity shower rain
333,Portland,US,45.5234,-122.6762,63.61,77,0,0.0,clear sky
334,Ulaangom,MN,49.9811,92.0667,40.35,37,100,3.56,overcast clouds
335,General Roca,AR,-39.0333,-67.5833,55.62,56,98,15.03,overcast clouds
336,Balikpapan,ID,-1.2675,116.8289,86.99,74,20,4.61,few clouds
337,Marawi,PH,7.9986,124.2928,83.93,54,98,4.09,light rain
338,Yeppoon,AU,-23.1333,150.7333,74.98,75,63,11.12,broken clouds
